order,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24,total,superkingdom,kingdom,phylum,class,tax
Pseudomonadales,276,7211,0,315,606,152,1804,13218,5064,897,5057,0,558,0,906,0,0,130,589,164,5722,0,8593,6337,57599,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pseudomonadales
Thiohalomonadales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Thiohalomonadales
Thiotrichales,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,118,11,144,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Thiotrichales
Vibrionales,0,0,0,0,0,0,430,107,0,0,86,0,0,0,0,0,0,53,0,0,112,0,418,783,1989,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Vibrionales
Leptospirales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,83,Bacteria,Bacteria_none,Spirochaetota,Spirochaetia,Bacteria;Bacteria_none;Spirochaetota;Spirochaetia;Leptospirales
Spirochaetales,0,0,20,191,0,0,0,0,0,0,20,0,0,0,0,0,0,0,76,0,69,0,2107,257,2740,Bacteria,Bacteria_none,Spirochaetota,Spirochaetia,Bacteria;Bacteria_none;Spirochaetota;Spirochaetia;Spirochaetales
Synergistales,0,0,0,33,0,0,0,71,0,0,15,0,0,0,0,0,0,0,13,0,0,0,744,52,928,Bacteria,Bacteria_none,Synergistota,Synergistia,Bacteria;Bacteria_none;Synergistota;Synergistia;Synergistales
Desulfarculales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,Bacteria,Bacteria_none,Thermodesulfobacteriota,Desulfarculia,Bacteria;Bacteria_none;Thermodesulfobacteriota;Desulfarculia;Desulfarculales
Desulfobacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,63,Bacteria,Bacteria_none,Thermodesulfobacteriota,Desulfobacteria,Bacteria;Bacteria_none;Thermodesulfobacteriota;Desulfobacteria;Desulfobacterales
Desulfobulbales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,126,Bacteria,Bacteria_none,Thermodesulfobacteriota,Desulfobulbia,Bacteria;Bacteria_none;Thermodesulfobacteriota;Desulfobulbia;Desulfobulbales
Desulfovibrionales,0,0,45,171,0,0,96,40,266,66,695,0,0,0,32,0,0,0,113,0,47,11,455,340,2377,Bacteria,Bacteria_none,Thermodesulfobacteriota,Desulfovibrionia,Bacteria;Bacteria_none;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales
Desulfuromonadales,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,85,0,118,Bacteria,Bacteria_none,Thermodesulfobacteriota,Desulfuromonadia,Bacteria;Bacteria_none;Thermodesulfobacteriota;Desulfuromonadia;Desulfuromonadales
Geobacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,49,Bacteria,Bacteria_none,Thermodesulfobacteriota,Desulfuromonadia,Bacteria;Bacteria_none;Thermodesulfobacteriota;Desulfuromonadia;Geobacterales
Syntrophales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23,Bacteria,Bacteria_none,Thermodesulfobacteriota,Syntrophia,Bacteria;Bacteria_none;Thermodesulfobacteriota;Syntrophia;Syntrophales
Opitutales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,Bacteria,Bacteria_none,Verrucomicrobiota,Opitutia,Bacteria;Bacteria_none;Verrucomicrobiota;Opitutia;Opitutales
Limisphaerales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,Bacteria,Bacteria_none,Verrucomicrobiota,Verrucomicrobiia,Bacteria;Bacteria_none;Verrucomicrobiota;Verrucomicrobiia;Limisphaerales
Verrucomicrobiales,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,77,Bacteria,Bacteria_none,Verrucomicrobiota,Verrucomicrobiia,Bacteria;Bacteria_none;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales
Trypanosomatida,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,19,Eukaryota,Eukaryota_Incertae_sedis,Euglenozoa,Kinetoplastea,Eukaryota;Eukaryota_Incertae_sedis;Euglenozoa;Kinetoplastea;Trypanosomatida
