Barcode,Sample ID,Farm Type,Farm ID,Sample Type,Oblast,rank,species,read_count,relative_abundance_pct,total_reads
BC06,3. н,Poultry,poultry #2,Enriched,Kyiv Oblast,6,Comamonas aquatica,101,4.16,2427
BC06,3. н,Poultry,poultry #2,Enriched,Kyiv Oblast,7,Klebsiella oxytoca,92,3.79,2427
BC06,3. н,Poultry,poultry #2,Enriched,Kyiv Oblast,8,Pseudomonas fragi,74,3.05,2427
BC06,3. н,Poultry,poultry #2,Enriched,Kyiv Oblast,9,Pseudomonas bubulae,45,1.85,2427
BC06,3. н,Poultry,poultry #2,Enriched,Kyiv Oblast,10,Bacteroides graminisolvens,45,1.85,2427
BC07,4.,Poultry,poultry #3,Native,Kyiv Oblast,1,Escherichia coli,208631,49.46,421827
BC07,4.,Poultry,poultry #3,Native,Kyiv Oblast,2,Unknown,43202,10.24,421827
BC07,4.,Poultry,poultry #3,Native,Kyiv Oblast,3,Proteus mirabilis,38340,9.09,421827
BC07,4.,Poultry,poultry #3,Native,Kyiv Oblast,4,Morganella morganii,12003,2.85,421827
BC07,4.,Poultry,poultry #3,Native,Kyiv Oblast,5,Bacteroides ovatus,11474,2.72,421827
BC07,4.,Poultry,poultry #3,Native,Kyiv Oblast,6,Klebsiella pneumoniae,8802,2.09,421827
BC07,4.,Poultry,poultry #3,Native,Kyiv Oblast,7,Shigella flexneri,5696,1.35,421827
BC07,4.,Poultry,poultry #3,Native,Kyiv Oblast,8,Phocaeicola dorei,5402,1.28,421827
BC07,4.,Poultry,poultry #3,Native,Kyiv Oblast,9,Providencia sp. PROV001,5354,1.27,421827
BC07,4.,Poultry,poultry #3,Native,Kyiv Oblast,10,Klebsiella oxytoca,5260,1.25,421827
BC08,4. н,Poultry,poultry #3,Enriched,Kyiv Oblast,1,Unknown,107496,28.38,378812
BC08,4. н,Poultry,poultry #3,Enriched,Kyiv Oblast,2,Escherichia coli,48527,12.81,378812
BC08,4. н,Poultry,poultry #3,Enriched,Kyiv Oblast,3,Klebsiella oxytoca,45879,12.11,378812
BC08,4. н,Poultry,poultry #3,Enriched,Kyiv Oblast,4,Acinetobacter pseudolwoffii,24465,6.46,378812
BC08,4. н,Poultry,poultry #3,Enriched,Kyiv Oblast,5,Raoultella terrigena,12313,3.25,378812
BC08,4. н,Poultry,poultry #3,Enriched,Kyiv Oblast,6,Shewanella putrefaciens,10062,2.66,378812
BC08,4. н,Poultry,poultry #3,Enriched,Kyiv Oblast,7,Klebsiella pneumoniae,8005,2.11,378812
BC08,4. н,Poultry,poultry #3,Enriched,Kyiv Oblast,8,Acinetobacter sp. F9,7185,1.9,378812
BC08,4. н,Poultry,poultry #3,Enriched,Kyiv Oblast,9,Acinetobacter baumannii,7008,1.85,378812
BC08,4. н,Poultry,poultry #3,Enriched,Kyiv Oblast,10,Leclercia adecarboxylata,5958,1.57,378812
BC09,5.1.,Pig,pig #2,Native,Kyiv Oblast,1,Unknown,23832,38.16,62460
BC09,5.1.,Pig,pig #2,Native,Kyiv Oblast,2,Escherichia coli,8567,13.72,62460
BC09,5.1.,Pig,pig #2,Native,Kyiv Oblast,3,Comamonas kerstersii,5730,9.17,62460
BC09,5.1.,Pig,pig #2,Native,Kyiv Oblast,4,Comamonas aquatica,2573,4.12,62460
BC09,5.1.,Pig,pig #2,Native,Kyiv Oblast,5,Denitrificimonas caeni,1571,2.52,62460
BC09,5.1.,Pig,pig #2,Native,Kyiv Oblast,6,Klebsiella pneumoniae,1193,1.91,62460
BC09,5.1.,Pig,pig #2,Native,Kyiv Oblast,7,Pseudomonas sp. C27(2019),1132,1.81,62460
BC09,5.1.,Pig,pig #2,Native,Kyiv Oblast,8,Acinetobacter towneri,972,1.56,62460
BC09,5.1.,Pig,pig #2,Native,Kyiv Oblast,9,Salmonella sp. A29-2,964,1.54,62460
BC09,5.1.,Pig,pig #2,Native,Kyiv Oblast,10,Pseudomonas aeruginosa,866,1.39,62460
BC10,5.1. н,Pig,pig #2,Enriched,Kyiv Oblast,1,Unknown,20125,81.61,24660
BC10,5.1. н,Pig,pig #2,Enriched,Kyiv Oblast,2,Prevotella herbatica,701,2.84,24660
BC10,5.1. н,Pig,pig #2,Enriched,Kyiv Oblast,3,Denitrificimonas caeni,600,2.43,24660
BC10,5.1. н,Pig,pig #2,Enriched,Kyiv Oblast,4,Segatella copri,438,1.78,24660
